Número de Tweet,Usuario,Texto,Creado en,Retweets,Likes
1,elonmusk,@jgebbia Yeah,2024-11-21 19:19:37+00:00,4,81
2,elonmusk,@jgebbia It was next-level insane of Germany to shut down its reactors!,2024-11-21 19:03:05+00:00,40,391
3,elonmusk,More Starlinks in orbit https://t.co/TR75BVgk0r,2024-11-21 18:58:12+00:00,993,9169
4,elonmusk,@rookisaacman Yeah,2024-11-21 18:56:57+00:00,20,318
5,elonmusk,"@NASASpaceflight If engine failures are isolated from each other and the primary airframe, then more engines *increases* reliability. 

The problem with N-1 was that a failure of any engine caused failure of all.",2024-11-21 18:37:59+00:00,64,799
6,elonmusk,@sdamico Seriously,2024-11-21 18:34:17+00:00,13,249
7,elonmusk,🍌 for scale https://t.co/4Yga3P0zpZ,2024-11-21 18:30:22+00:00,1585,16206
8,elonmusk,You are the media now https://t.co/hRZORqis3Z,2024-11-21 18:28:08+00:00,1764,15413
9,elonmusk,@GaryGensler @SECGov Is it true that the SEC only works one day a month in the office?,2024-11-21 18:25:44+00:00,722,9262
10,elonmusk,@TheBabylonBee That’s a deep cut 😂,2024-11-21 18:24:39+00:00,53,1520
11,elonmusk,@micsolana Yeah,2024-11-21 18:23:20+00:00,24,455
12,elonmusk,They want our memes! https://t.co/jx42ecApTs,2024-11-21 18:22:55+00:00,3609,42675
13,elonmusk,@alifarhat79 True,2024-11-21 18:08:26+00:00,19,375
14,elonmusk,@farzyness The memes are funny though,2024-11-21 18:01:43+00:00,31,632
15,elonmusk,"I am immune from Community Notes!

(Community Notes will correct this shortly 😂) https://t.co/UPOHOSDtD8",2024-11-21 17:55:21+00:00,1723,19019
16,elonmusk,"We need to reach &gt;1M/year production volumes, but, long-term, yes https://t.co/WE39TnhTdf",2024-11-21 17:54:18+00:00,1596,16827
17,elonmusk,Falcon Heavy https://t.co/ypeJNo6KP3,2024-11-21 17:52:28+00:00,4256,64348
18,elonmusk,@Fidias0 What makes a party “far right”?,2024-11-21 17:51:24+00:00,41,582
19,elonmusk,Fairing reuse is also important https://t.co/IQbDmjy31m,2024-11-21 17:49:16+00:00,866,7814
20,elonmusk,@edwards345 True,2024-11-21 17:48:44+00:00,16,290
21,elonmusk,Humans are so small https://t.co/ZMi5K4BmJy,2024-11-21 17:44:05+00:00,2300,31631
22,elonmusk,@Mick_O_Keeffe Read The Parasitic Mind by @GadSaad,2024-11-21 17:42:46+00:00,49,804
23,elonmusk,@Tweetbyboth @ZachWarunek Most interesting place on the Internet!,2024-11-21 17:41:04+00:00,32,539
24,elonmusk,@cb_doge How time flies 😂,2024-11-21 17:37:10+00:00,65,1150
25,elonmusk,@Rothmus Child abuse,2024-11-21 17:20:07+00:00,145,1959
26,elonmusk,@Benioff @TeamTime I’d like to be on zero covers,2024-11-21 17:16:25+00:00,62,965
27,elonmusk,"@JeffBezos @realDonaldTrump Well, then, I stand corrected 😂",2024-11-21 17:05:09+00:00,491,61168
28,elonmusk,@R_H_Ebright @thackerpd @NAffects @JeninYounesEsq @mtaibbi @bariweiss All the woke stasi and pedos are there!,2024-11-21 16:02:29+00:00,72,886
29,elonmusk,@wudijo Is PoE2 super good or medium good?,2024-11-21 15:08:00+00:00,26,423
30,elonmusk,"@KonstantinKisin Well, then I should give him a call! 😂",2024-11-21 14:51:21+00:00,220,5888
31,elonmusk,"@tunguz 😂

Physics is the absolute best framework for thinking",2024-11-21 14:49:54+00:00,44,803
32,elonmusk,@alifarhat79 We could save a lot of money by replacing the Fed with a Magic 8-Ball,2024-11-21 14:43:16+00:00,262,2977
33,elonmusk,@BrianRoemmele Beautiful car,2024-11-21 14:35:09+00:00,31,646
34,elonmusk,@Rothmus Yeah,2024-11-21 14:34:53+00:00,33,571
35,elonmusk,@iamyesyouareno Weird,2024-11-21 14:34:07+00:00,61,1207
36,elonmusk,💩 posting is now part of my actual job 😂 https://t.co/Gd4n4ME207,2024-11-21 14:33:19+00:00,5951,92117
37,elonmusk,"To be clear, I have not done any media interviews and this is not actually my checklist. 

I am trying to make life multiplanetary to maximize the probable lifespan of consciousness. Some of the items below are needed for that. https://t.co/Sv0N3Z5U4l",2024-11-21 14:32:17+00:00,7783,62409
38,elonmusk,Cool 😎 https://t.co/gNbXf8q8Mg,2024-11-21 14:27:23+00:00,2036,24868
39,elonmusk,@dinkin_flickaa Yeah,2024-11-21 14:27:08+00:00,17,293
40,elonmusk,"Seriously. 

If you want to know the real answer, it is because almost every one of them, once they become citizens, will vote Democrat. 

Criminals vote overwhelmingly Democrat, because they are the soft-on-crime party. This is a fact. https://t.co/FiSRidDqIB",2024-11-21 14:26:53+00:00,11673,56644
41,elonmusk,@SenRickScott @HSGAC @realDonaldTrump Absolutely,2024-11-21 14:24:51+00:00,109,1323
42,elonmusk,"There are well over 400 Federal agencies. 

I was once in a meeting with a new agency that was being formed, but it didn’t have a name yet. 

The reason it didn’t have a name was that all the good acronyms were taken! https://t.co/0Xvei7nWln",2024-11-21 14:23:28+00:00,5392,36596
43,elonmusk,@Linda_McMahon @A1Policy @America1stWorks Congratulations!,2024-11-21 14:17:29+00:00,29,607
44,elonmusk,"Wow, this is messed up!
 https://t.co/wLxB4G1lYS",2024-11-21 14:17:02+00:00,9703,44166
45,elonmusk,gm frens,2024-11-21 14:14:28+00:00,7742,114272
46,elonmusk,"@Rothmus That makes them sound too cool, but kinda true",2024-11-21 14:14:00+00:00,58,763
47,elonmusk,Karma is real https://t.co/biPx2RG0gE,2024-11-21 14:12:33+00:00,39984,203345
48,elonmusk,@amuse Several friends of mine who publicly supported Trump now have many members of their family who won’t talk to them anymore! It’s crazy.,2024-11-21 14:12:11+00:00,243,2545
49,elonmusk,Interesting https://t.co/5NapoKP2DW,2024-11-21 14:08:28+00:00,4009,25818
50,elonmusk,@AutismCapital I guess her social media intern is still getting paid 😂,2024-11-21 14:04:32+00:00,74,1318
51,elonmusk,@TheGregYang Yeah,2024-11-21 14:03:45+00:00,18,396
52,elonmusk,@alx Yeah,2024-11-21 13:46:15+00:00,179,1214
53,elonmusk,"Notre-Dame has been restored!
 https://t.co/g7RKQDHRlr",2024-11-21 13:44:54+00:00,26696,257832
54,elonmusk,@cb_doge I’m impossible to recognize when I wear these glasses,2024-11-21 13:43:29+00:00,123,1945
55,elonmusk,@VivekGRamaswamy “Alleged” 🤣🤣,2024-11-21 13:42:35+00:00,229,3624
56,elonmusk,@thatsKAIZEN Yeah,2024-11-21 07:08:38+00:00,57,724
57,elonmusk,@BasedMikeLee Terrible,2024-11-21 07:06:27+00:00,88,1348
58,elonmusk,"California, the Golden State, is eating its Golden Geese https://t.co/qml5EzqrYV",2024-11-21 06:58:29+00:00,6072,36871
59,elonmusk,@ZachWarunek Yeah,2024-11-21 06:53:00+00:00,34,700
60,elonmusk,@pmarca True,2024-11-21 06:52:05+00:00,25,614
61,elonmusk,True https://t.co/MUq7JnUxTC,2024-11-21 06:51:42+00:00,9260,39162
62,elonmusk,True https://t.co/Wa32lZsStT,2024-11-21 06:49:51+00:00,12158,58727
63,elonmusk,@512x512 Great,2024-11-21 06:48:04+00:00,29,500
64,elonmusk,@aussie_hanz @512x512 @TheGregYang @kinespheric @phroo Good idea,2024-11-21 06:43:40+00:00,42,557
65,elonmusk,Coming soon to iPhone &amp; Android https://t.co/uhsPrfXHMX,2024-11-21 06:43:26+00:00,2397,19942
66,elonmusk,Now more closely reflects America https://t.co/PokCjGjhy8,2024-11-21 06:42:10+00:00,5669,57305
67,elonmusk,"Thank you, Senator Lee! https://t.co/F52k3FFqCg",2024-11-21 06:38:17+00:00,10969,71262
68,elonmusk,@BehizyTweets We will have guests too,2024-11-21 06:31:13+00:00,196,3005
69,elonmusk,"Just learned tonight at Mar-a-Lago that Jeff Bezos was telling everyone that @realDonaldTrump would lose for sure, so they should sell all their Tesla and SpaceX stock 🤭",2024-11-21 06:26:39+00:00,25309,231895
70,elonmusk,@DimaZeniuk And it will get longer,2024-11-21 06:22:24+00:00,46,749
71,elonmusk,@Rothmus Yeah,2024-11-21 06:20:36+00:00,38,785
72,elonmusk,"If the extreme violation of shareholder rights by the activist posing as a judge in Delaware is allowed to stand, Delaware’s entire economy will be destroyed https://t.co/4kPNFTktkB",2024-11-21 06:19:57+00:00,9609,38048
73,elonmusk,Are we a country that believes in innocent until proven guilty or are we not? https://t.co/HVRawXoLyw,2024-11-21 06:17:05+00:00,39202,170473
74,elonmusk,Seems like a backdoor way to control access to the Internet by all Australians https://t.co/694yCzWOaB,2024-11-21 06:11:45+00:00,11184,77746
75,elonmusk,Improvements to Grok https://t.co/TeEHrIUfHI,2024-11-21 06:10:33+00:00,2220,18197
76,elonmusk,America is New Rome https://t.co/Sa6X2Fr8dy,2024-11-21 06:05:40+00:00,10469,86430
77,elonmusk,"@DefiyantlyFree But first delete as many as possible. 

We should not try to optimize something that shouldn’t exist.",2024-11-21 06:04:27+00:00,210,2119
78,elonmusk,@thejefflutz He’s gone mad,2024-11-21 06:02:58+00:00,57,1519
79,elonmusk,"Wow, Germany carries a lot of the cost of the EU! https://t.co/DPHUz2nWX0",2024-11-21 06:01:38+00:00,23593,181934
80,elonmusk,"Yeah, a significant part of the reason drugs cost more in the USA than other countries is that Americans shoulder most of the R&amp;D costs https://t.co/kpbCWF1e9c",2024-11-21 05:59:36+00:00,8593,58802
81,elonmusk,@EndWokeness Now MSNBC is going down,2024-11-21 05:56:43+00:00,771,12981
82,elonmusk,@RationalEtienne Most of the government is not needed,2024-11-21 05:53:58+00:00,196,1847
83,elonmusk,All establishment parties in the UK will get crushed in the next election https://t.co/8RuFR8yerL,2024-11-21 05:49:11+00:00,17578,128980
84,elonmusk,@cb_doge Yeah,2024-11-21 05:48:07+00:00,54,832
85,elonmusk,Quite a big difference https://t.co/obuFKg09Y7,2024-11-21 05:46:14+00:00,6571,96974
86,elonmusk,Community Notes goes hard 😂 https://t.co/wHb0wVjp4X,2024-11-21 05:44:06+00:00,12332,224746
87,elonmusk,"@Rothmus Some Federal departments have 6% occupancy. 

Closer to 1% if “occupancy” is defined as clocked in for &gt;8 hours. It’s insane.",2024-11-21 05:40:24+00:00,137,1240
88,elonmusk,@Nate_Esparza @alx Fair point,2024-11-21 05:37:29+00:00,20,472
89,elonmusk,Your tax dollars [not] at work https://t.co/yggTAzH26q,2024-11-21 05:29:25+00:00,15457,55982
90,elonmusk,"@LawSelfDefense @FischerKing64 Yeah, terrible",2024-11-21 03:44:09+00:00,38,830
91,elonmusk,@ChefGruel Really?,2024-11-21 03:35:02+00:00,391,9203
92,elonmusk,@MarioNawfal I think Blizzard should give me a salesperson of the month award,2024-11-21 03:28:03+00:00,315,7511
93,elonmusk,He was a genius https://t.co/DOYzzACUeu,2024-11-21 03:25:22+00:00,31720,198038
94,elonmusk,"@GregWAutry @peterrhague Actually, I have often exceeded stated goals, but the legacy media never writes an article when that happens",2024-11-21 03:15:13+00:00,80,1162
95,elonmusk,Low bar tbh https://t.co/ZnBcavvxQw,2024-11-21 03:06:04+00:00,20031,239338
96,elonmusk,@alx Bigtime (phew),2024-11-21 03:05:18+00:00,138,2194
97,elonmusk,@Rothmus Took me a second before I realized that the guy meant the list as a bad thing 😂,2024-11-21 03:04:25+00:00,140,2276
98,elonmusk,The establishment political parties are going to get utterly crushed in the next UK election https://t.co/Vt2OAFmXwK,2024-11-21 03:03:10+00:00,17107,95070
99,elonmusk,@farzyness Yeah,2024-11-21 03:01:44+00:00,54,1027
100,elonmusk,Just replace “democracy” with “bureaucracy” and it makes total sense 😂 https://t.co/eFfzd9aoQS,2024-11-21 02:48:52+00:00,33345,245399
